,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
84,0.5,2.16467,600.0,8,session_3,3,5,004-2014,AIR LLE
85,0.5,2.425126,600.0,8,session_4,3,5,004-2014,AIR LLE
86,0.5,2.591806,600.0,9,session_0,3,5,004-2014,AIR LLE
87,0.5,2.401848,600.0,9,session_1,3,5,004-2014,AIR LLE
88,0.5,1.8924909,560.0,9,session_2,3,5,004-2014,AIR LLE
89,0.5,2.2157629,560.0,9,session_3,3,5,004-2014,AIR LLE
90,0.5,2.728634,560.0,9,session_4,3,5,004-2014,AIR LLE
91,0.5,9.97547,100.0,1,session_1,62,2,Lee2019_MI,AIR LLE
92,0.5,12.226141,100.0,1,session_2,62,2,Lee2019_MI,AIR LLE
93,0.5,13.901895,100.0,2,session_1,62,2,Lee2019_MI,AIR LLE
94,0.5,11.773618,100.0,2,session_2,62,2,Lee2019_MI,AIR LLE
95,0.5,9.76098,100.0,3,session_1,62,2,Lee2019_MI,AIR LLE
96,0.5,12.907684,100.0,3,session_2,62,2,Lee2019_MI,AIR LLE
97,0.5,9.709292,100.0,4,session_1,62,2,Lee2019_MI,AIR LLE
98,0.5,12.0536375,100.0,4,session_2,62,2,Lee2019_MI,AIR LLE
99,0.5,12.638971,100.0,5,session_1,62,2,Lee2019_MI,AIR LLE
100,0.5,12.1925,100.0,5,session_2,62,2,Lee2019_MI,AIR LLE
101,0.5,11.589627,100.0,6,session_1,62,2,Lee2019_MI,AIR LLE
102,0.5,12.714737,100.0,6,session_2,62,2,Lee2019_MI,AIR LLE
103,0.5,13.438327,100.0,7,session_1,62,2,Lee2019_MI,AIR LLE
104,0.5,11.314904,100.0,7,session_2,62,2,Lee2019_MI,AIR LLE
105,0.5,11.927048,100.0,8,session_1,62,2,Lee2019_MI,AIR LLE
106,0.5,11.950961,100.0,8,session_2,62,2,Lee2019_MI,AIR LLE
107,0.5,13.020196,100.0,9,session_1,62,2,Lee2019_MI,AIR LLE
108,0.5,11.682661,100.0,9,session_2,62,2,Lee2019_MI,AIR LLE
109,0.5,12.91611,100.0,10,session_1,62,2,Lee2019_MI,AIR LLE
110,0.5,12.045749,100.0,10,session_2,62,2,Lee2019_MI,AIR LLE
111,0.5,11.390668,100.0,11,session_1,62,2,Lee2019_MI,AIR LLE
112,0.5,12.649253,100.0,11,session_2,62,2,Lee2019_MI,AIR LLE
113,0.5,10.848964,100.0,12,session_1,62,2,Lee2019_MI,AIR LLE
114,0.5,12.106461,100.0,12,session_2,62,2,Lee2019_MI,AIR LLE
115,0.5,12.4498005,100.0,13,session_1,62,2,Lee2019_MI,AIR LLE
116,0.5,11.353278,100.0,13,session_2,62,2,Lee2019_MI,AIR LLE
117,0.5,12.903404,100.0,14,session_1,62,2,Lee2019_MI,AIR LLE
118,0.5,11.429637,100.0,14,session_2,62,2,Lee2019_MI,AIR LLE
