,dataset,index,pipe1,pipe2,p,smd,nsub
70,004-2015,6,LE LLE,AIR LLE,0.998046875,-0.3456916149675376,9
71,004-2015,7,LE PCA,AIR LLE,0.998046875,-0.34632165122468095,9
72,004-2015,8,AIR LLE,AIR PCA,0.001953125,0.34569627085383653,9
73,004-2015,9,AIR PCA,AIR PCA,0.001953125,0.0,9
74,004-2015,10,CLE LLE,AIR PCA,0.998046875,-6.681783545636801,9
75,004-2015,11,CLE PCA,AIR PCA,0.998046875,-16.65616129708674,9
76,004-2015,12,GLE LLE,AIR PCA,0.00390625,0.36281270939352306,9
77,004-2015,13,GLE PCA,AIR PCA,0.998046875,-15.834406701420807,9
78,004-2015,14,LE LLE,AIR PCA,0.51171875,-0.045305938406699414,9
79,004-2015,15,LE PCA,AIR PCA,0.998046875,-16.223893899123006,9
80,004-2015,16,AIR LLE,CLE LLE,0.001953125,0.34610850182492126,9
81,004-2015,17,AIR PCA,CLE LLE,0.001953125,6.681783545636801,9
82,004-2015,18,CLE LLE,CLE LLE,0.001953125,0.0,9
83,004-2015,19,CLE PCA,CLE LLE,0.998046875,-4.685356880616024,9
84,004-2015,20,GLE LLE,CLE LLE,0.001953125,0.36411379014612505,9
85,004-2015,21,GLE PCA,CLE LLE,0.998046875,-4.390642853690655,9
86,004-2015,22,LE LLE,CLE LLE,0.056640625,0.3952168861334175,9
87,004-2015,23,LE PCA,CLE LLE,0.998046875,-4.129258733520645,9
88,004-2015,24,AIR LLE,CLE PCA,0.001953125,0.3463284247767205,9
89,004-2015,25,AIR PCA,CLE PCA,0.001953125,16.65616129708674,9
90,004-2015,26,CLE LLE,CLE PCA,0.001953125,4.685356880616024,9
91,004-2015,27,CLE PCA,CLE PCA,0.001953125,0.0,9
92,004-2015,28,GLE LLE,CLE PCA,0.001953125,0.36480763855387677,9
93,004-2015,29,GLE PCA,CLE PCA,0.037109375,0.7287671813661787,9
94,004-2015,30,LE LLE,CLE PCA,0.001953125,0.6194460150368756,9
95,004-2015,31,LE PCA,CLE PCA,0.01953125,0.6659894946680721,9
96,004-2015,32,AIR LLE,GLE LLE,0.158203125,0.3374664002648341,9
97,004-2015,33,AIR PCA,GLE LLE,0.998046875,-0.36281270939352306,9
98,004-2015,34,CLE LLE,GLE LLE,0.998046875,-0.36411379014612505,9
99,004-2015,35,CLE PCA,GLE LLE,0.998046875,-0.36480763855387677,9
100,004-2015,36,GLE LLE,GLE LLE,0.001953125,0.0,9
101,004-2015,37,GLE PCA,GLE LLE,0.998046875,-0.3647872592928681,9
102,004-2015,38,LE LLE,GLE LLE,0.998046875,-0.36280107824782337,9
103,004-2015,39,LE PCA,GLE LLE,0.998046875,-0.36478623986263,9
104,004-2015,40,AIR LLE,GLE PCA,0.001953125,0.346321955469195,9
105,004-2015,41,AIR PCA,GLE PCA,0.001953125,15.834406701420807,9
106,004-2015,42,CLE LLE,GLE PCA,0.001953125,4.390642853690655,9
107,004-2015,43,CLE PCA,GLE PCA,0.96484375,-0.7287671813661787,9
108,004-2015,44,GLE LLE,GLE PCA,0.001953125,0.3647872592928681,9
109,004-2015,45,GLE PCA,GLE PCA,0.001953125,0.0,9
110,004-2015,46,LE LLE,GLE PCA,0.001953125,0.6129621520211092,9
111,004-2015,47,LE PCA,GLE PCA,0.396484375,0.08440262428081968,9
112,004-2015,48,AIR LLE,LE LLE,0.001953125,0.3456916149675376,9
113,004-2015,49,AIR PCA,LE LLE,0.490234375,0.045305938406699414,9
114,004-2015,50,CLE LLE,LE LLE,0.9453125,-0.3952168861334175,9
115,004-2015,51,CLE PCA,LE LLE,0.998046875,-0.6194460150368756,9
116,004-2015,52,GLE LLE,LE LLE,0.001953125,0.36280107824782337,9
117,004-2015,53,GLE PCA,LE LLE,0.998046875,-0.6129621520211092,9
118,004-2015,54,LE LLE,LE LLE,0.001953125,0.0,9
119,004-2015,55,LE PCA,LE LLE,0.998046875,-0.6123209916192128,9
